date,open,high,low,close,volume,amount,code,frequency
2000-07-17,1992.8900,1997.9400,1980.2200,1982.4800,1584549600,15661436928.0000,sh.000001,d
2000-07-18,1982.5000,1993.9900,1981.7400,1993.9900,1756323600,11080579072.0000,sh.000001,d
2000-07-19,2000.3300,2004.4600,1987.4200,1998.4300,2913858800,12685114368.0000,sh.000001,d
2000-07-20,1999.0900,2003.8000,1979.8800,1991.5600,1737083600,12997399552.0000,sh.000001,d
2000-07-21,1994.4200,1998.3500,1991.8400,1996.3400,1173260100,10809192448.0000,sh.000001,d
2000-07-24,1998.2500,1999.9000,1982.8800,1989.2400,1189727300,11390179328.0000,sh.000001,d
2000-07-25,1990.1500,1997.8500,1989.0900,1996.5800,1127278900,11050168320.0000,sh.000001,d
2000-07-26,1999.4400,2012.4000,1999.4000,2012.3200,1516356700,11679823872.0000,sh.000001,d
2000-07-27,2017.4600,2025.0000,2004.5500,2012.3500,1739815600,14663280640.0000,sh.000001,d
2000-07-28,2014.1100,2016.9400,2006.1700,2012.7900,1489665700,13327393792.0000,sh.000001,d
2000-07-31,2016.1400,2023.5700,2008.6400,2023.5400,1717384400,15328029696.0000,sh.000001,d
2000-08-01,2027.0100,2031.9300,2023.4500,2028.1500,2118798400,11273846784.0000,sh.000001,d
2000-08-02,2030.7900,2033.1900,2018.4800,2030.6800,2390531600,11096046592.0000,sh.000001,d
2000-08-03,2032.9400,2038.6500,2030.1000,2036.3000,1832131800,13159628800.0000,sh.000001,d
2000-08-04,2037.4700,2041.2800,2013.4500,2026.3600,1959713600,14517949440.0000,sh.000001,d
2000-08-07,2025.1800,2039.4200,2017.9000,2039.4200,1371647400,13194100736.0000,sh.000001,d
2000-08-08,2042.7500,2050.0700,2040.7800,2049.9200,1373800000,13489696768.0000,sh.000001,d
2000-08-09,2051.6500,2061.2800,2048.4900,2061.1800,1635086500,15774777344.0000,sh.000001,d
2000-08-10,2065.3100,2067.7500,2053.8600,2065.9400,1737942800,17966577664.0000,sh.000001,d
2000-08-11,2067.7800,2070.3000,2055.2000,2062.6700,1531396300,15406527488.0000,sh.000001,d
2000-08-14,2065.9400,2076.3300,2065.9400,2076.3000,1517075700,13785725952.0000,sh.000001,d
2000-08-15,2079.0700,2082.7400,2066.1600,2076.8200,1347927900,12776114176.0000,sh.000001,d
2000-08-16,2078.4900,2083.4700,2072.9800,2083.4700,1542030300,13458292736.0000,sh.000001,d
2000-08-17,2086.8100,2092.3300,2086.5600,2091.5900,1392576000,13776078848.0000,sh.000001,d
2000-08-18,2093.6300,2097.3200,2086.7500,2090.1800,1256434400,12914594816.0000,sh.000001,d
2000-08-21,2095.3800,2108.8800,2093.4200,2108.6900,1585930300,16485779456.0000,sh.000001,d
2000-08-22,2112.0200,2114.5200,2074.5200,2074.7000,1605273300,15718825984.0000,sh.000001,d
2000-08-23,2064.0500,2080.1400,1980.3500,2057.9200,2637889600,23007105024.0000,sh.000001,d
2000-08-24,2058.5300,2073.9500,2043.2100,2071.1600,1724685600,17062325248.0000,sh.000001,d
2000-08-25,2073.7200,2086.7200,2066.3300,2086.7000,1229048300,13463882752.0000,sh.000001,d
2000-08-28,2092.1200,2100.7000,2085.6000,2100.5900,1383249700,14500828160.0000,sh.000001,d
2000-08-29,2103.0300,2105.6300,2094.6100,2105.4800,1452168400,13338550272.0000,sh.000001,d
2000-08-30,2107.0200,2108.1000,2075.1600,2076.1400,1338050600,13796935680.0000,sh.000001,d
2000-08-31,2062.8400,2064.7600,2019.4500,2021.2000,1611062400,13998246912.0000,sh.000001,d
2000-09-01,2009.1500,2026.3500,1997.7200,1999.8600,1279555400,11909299200.0000,sh.000001,d
2000-09-04,1994.8900,2010.6000,1981.2300,2010.6000,984028900,9573131264.0000,sh.000001,d
2000-09-05,2015.0600,2020.8500,1959.5900,1963.7900,985113000,8915758080.0000,sh.000001,d
2000-09-06,1955.5000,1964.2700,1923.6000,1925.9100,1101726700,8866107392.0000,sh.000001,d
2000-09-07,1929.3000,1963.2300,1929.3000,1950.6600,846665700,7624529408.0000,sh.000001,d
2000-09-08,1955.1500,1963.8900,1945.9200,1959.3100,722321700,7143496704.0000,sh.000001,d
2000-09-11,1963.2700,1972.0800,1956.0800,1972.0400,735543400,7367591936.0000,sh.000001,d
2000-09-12,1975.4100,1979.3200,1965.4000,1979.1000,668886400,6906093056.0000,sh.000001,d
2000-09-13,1980.5300,1995.3200,1975.1300,1988.9400,888941500,7726368768.0000,sh.000001,d
2000-09-14,1989.9700,1992.3700,1973.0200,1979.5100,646759100,6510989312.0000,sh.000001,d
2000-09-15,1978.0400,1978.4700,1966.8800,1978.4300,633116400,6103325696.0000,sh.000001,d
2000-09-18,1979.5300,1981.1300,1946.1800,1946.7500,689253800,6380457984.0000,sh.000001,d
2000-09-19,1937.3200,1937.3700,1895.4900,1903.1500,919539900,7938020352.0000,sh.000001,d
2000-09-20,1902.9100,1922.3000,1892.2800,1922.2900,704339500,6535647232.0000,sh.000001,d
2000-09-21,1924.8300,1927.5200,1905.6500,1907.3100,639455400,6417925120.0000,sh.000001,d
2000-09-22,1904.5700,1904.5700,1888.0900,1891.9800,668312300,6447665152.0000,sh.000001,d
2000-09-25,1889.9000,1896.7200,1874.2100,1875.9100,475970200,4674524160.0000,sh.000001,d
2000-09-26,1878.3100,1890.6700,1878.0500,1887.8300,435829100,4629185024.0000,sh.000001,d
2000-09-27,1889.8800,1914.1100,1889.8700,1914.0900,432715900,4291880192.0000,sh.000001,d
2000-09-28,1915.5000,1917.0600,1886.9400,1889.2900,504991900,5118582784.0000,sh.000001,d
2000-09-29,1888.2000,1910.4900,1888.0700,1910.1600,468232600,5101305344.0000,sh.000001,d
2000-10-09,1912.0800,1915.5000,1897.2400,1915.3500,516677600,5724802048.0000,sh.000001,d
2000-10-10,1917.9000,1942.1700,1917.6800,1942.1500,667750500,7010874368.0000,sh.000001,d
2000-10-11,1944.2500,1948.0100,1931.4600,1933.7300,725288800,7663055360.0000,sh.000001,d
2000-10-12,1933.1400,1933.3300,1918.4700,1926.3200,722605500,7630467584.0000,sh.000001,d
2000-10-13,1927.3500,1932.3200,1911.3600,1918.1600,664271800,7331121152.0000,sh.000001,d
2000-10-16,1917.4500,1917.5600,1897.9100,1902.8100,608503600,6096268800.0000,sh.000001,d
2000-10-17,1902.0700,1909.4900,1896.9500,1909.4900,417493600,4690517504.0000,sh.000001,d
2000-10-18,1911.7100,1922.8500,1911.7100,1922.8500,575503200,7781997568.0000,sh.000001,d
2000-10-19,1925.2100,1927.3700,1911.1800,1913.4200,596505700,5938198528.0000,sh.000001,d
2000-10-20,1913.1600,1947.4700,1912.3800,1947.4600,938766000,9689264128.0000,sh.000001,d
2000-10-23,1952.9600,1960.8600,1945.6700,1958.9400,857797300,9638934528.0000,sh.000001,d
2000-10-24,1960.3700,1962.1300,1945.5300,1956.3400,635728300,7342628864.0000,sh.000001,d
2000-10-25,1957.3800,1978.9900,1957.3100,1977.2500,1150654400,11408579584.0000,sh.000001,d
2000-10-26,1979.3000,1980.6300,1962.2000,1967.6700,1065276400,8684369920.0000,sh.000001,d
2000-10-27,1968.1700,1971.7900,1957.7400,1967.4100,903711100,7786520576.0000,sh.000001,d
2000-10-30,1967.6500,1974.2400,1962.8100,1973.5800,993944800,9374286848.0000,sh.000001,d
2000-10-31,1974.5300,1979.9900,1956.4200,1961.2900,909042100,7911979008.0000,sh.000001,d
2000-11-01,1961.0800,1977.3700,1959.7200,1977.3600,850193900,8196133376.0000,sh.000001,d
2000-11-02,1981.7700,1992.8600,1980.8900,1984.2600,893385000,8841706496.0000,sh.000001,d
2000-11-03,1984.9900,1989.1100,1977.2100,1981.6300,932081700,7328830976.0000,sh.000001,d
2000-11-06,1983.0700,1992.8800,1982.7500,1991.1700,999681900,8928638976.0000,sh.000001,d
2000-11-07,1993.4500,1997.0800,1990.0600,1997.0800,789874600,7278831104.0000,sh.000001,d
2000-11-08,1999.1500,2012.9900,1998.3500,2012.9100,925427200,8600386560.0000,sh.000001,d
2000-11-09,2016.2200,2032.5200,2014.8400,2032.4800,1405162700,13103294464.0000,sh.000001,d
2000-11-10,2037.0800,2051.3400,2033.6300,2047.4600,1396589900,15893171200.0000,sh.000001,d
2000-11-13,2054.4800,2071.6900,2053.4400,2070.7900,1440877600,15478738944.0000,sh.000001,d
2000-11-14,2072.7900,2085.1200,2055.2100,2085.1200,1244877600,14376825856.0000,sh.000001,d
2000-11-15,2087.2800,2092.6500,2074.3800,2081.9100,1333426600,14338161664.0000,sh.000001,d
2000-11-16,2081.1400,2096.0500,2080.6100,2095.9800,1282182000,14983269376.0000,sh.000001,d
2000-11-17,2098.8900,2104.7000,2084.9000,2093.2400,1180132600,13085711360.0000,sh.000001,d
2000-11-20,2092.5900,2101.4000,2078.2800,2101.3900,1310295900,13467538432.0000,sh.000001,d
2000-11-21,2104.0700,2112.9100,2095.5800,2097.9800,1247971800,12041539584.0000,sh.000001,d
2000-11-22,2097.2800,2113.3500,2091.6200,2113.3000,1214670700,12051089408.0000,sh.000001,d
